dataset_type,video_name,min_cutoff,beta,d_cutoff,frame_count,noise_reduction,displacement_reduction,shoulder_velocity_retention
fall,video (26).avi,2.0,0.007,1.0,499,2.6065426491368116,32.597265521793986,68.24629736942678
fall,video (27).avi,2.0,0.007,1.0,811,-1.2650923429992744,38.009468052385465,64.56815361205423
fall,video (28).avi,2.0,0.007,1.0,505,-4.33821476257561,32.049984145059895,64.04613284067024
fall,video (29).avi,2.0,0.007,1.0,1221,1.069336359933426,33.61147212912646,67.86405566325425
fall,video (3).avi,2.0,0.007,1.0,304,-3.979257232663036,46.35827894555411,46.27081411579883
fall,video (30).avi,2.0,0.007,1.0,1247,2.173266357581949,45.307119712413964,67.32078422454198
fall,video (4).avi,2.0,0.007,1.0,207,-2.311293186372132,41.61959679770787,48.135792996601964
fall,video (5).avi,2.0,0.007,1.0,181,1.79408200673713,45.42131668178596,53.34610356067011
fall,video (6).avi,2.0,0.007,1.0,239,1.0550202782014906,37.14102741162142,56.93332194454078
fall,video (7).avi,2.0,0.007,1.0,216,-2.0347059292644243,29.416716978186752,70.61892905103242
fall,video (8).avi,2.0,0.007,1.0,285,3.6635277623060514,34.0340048345251,87.94905694615473
fall,video (9).avi,2.0,0.007,1.0,336,0.401254787605676,36.12094551325412,71.57565153106333
normal,20060723sfjffinallseriousness_run_f_cm_np2_ba_med_2.avi,2.0,0.02,1.0,48,14.620879360544613,64.04129607396612,24.288190467477488
normal,20060723sfjffjewcy_walk_f_cm_np1_ba_med_2.avi,2.0,0.02,1.0,49,46.551676379569344,61.57559445251637,28.553678552407852
normal,20060723sfjffjewcy_walk_f_nm_np1_fr_med_1.avi,2.0,0.02,1.0,74,36.79402915223563,67.13827773417538,30.188939221997728
normal,20060723sfjffjewgotmail_walk_f_cm_np2_ba_med_2.avi,2.0,0.02,1.0,48,-1.065995500159156,67.50514891127858,34.403770077037805
normal,20060723sfjffkillerskiss_walk_f_cm_np1_fr_med_1.avi,2.0,0.02,1.0,84,,,
normal,20060723sfjffschmoozer_walk_f_cm_np1_ri_med_1.avi,2.0,0.02,1.0,218,,,
normal,20060723sfjffschmoozer_walk_f_cm_np2_ri_med_0.avi,2.0,0.02,1.0,37,,,
normal,50_FIRST_DATES_run_f_nm_np1_ba_med_20.avi,2.0,0.02,1.0,79,6.564204630922143,59.45447429036099,41.457446622461056
normal,50_FIRST_DATES_walk_f_cm_np1_ri_med_31.avi,2.0,0.02,1.0,82,50.45990308663188,67.44282641388614,22.285962219480933
normal,50_FIRST_DATES_wave_f_cm_np1_fr_med_0.avi,2.0,0.02,1.0,50,,,
normal,A_Beautiful_Mind_6_walk_u_cm_np1_fr_med_1.avi,2.0,0.02,1.0,109,3.5307626133427306,57.13992391774929,36.168239391847806
normal,AboutABoy_walk_f_nm_np1_le_med_5.avi,2.0,0.02,1.0,95,18.87103043611499,53.40428443133225,41.850735419667764
normal,American_History_X_run_u_cm_np1_ba_med_18.avi,2.0,0.02,1.0,88,-7.018988730347808,57.762873615841194,26.617248764745703
normal,American_History_X_sit_f_cm_np1_le_med_27.avi,2.0,0.02,1.0,98,4.508278575790737,52.53408451585988,42.17685479812618
normal,American_History_X_sit_u_cm_np1_fr_med_6.avi,2.0,0.02,1.0,84,33.206330858008485,61.11834454791041,30.134329375501284
normal,BLACK_HAWK_DOWN_run_f_nm_np1_ba_med_31.avi,2.0,0.02,1.0,48,,,
normal,BLACK_HAWK_DOWN_run_f_nm_np1_ba_med_32.avi,2.0,0.02,1.0,48,,,
normal,BLACK_HAWK_DOWN_run_f_nm_np1_ri_med_17.avi,2.0,0.02,1.0,21,70.44903417295139,70.45104867451535,29.541974725693663
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_0.avi,2.0,0.02,1.0,205,16.71416984343462,58.180621508148974,42.286648297376914
